text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Buen profesor realizamos muchas dinámicas de aprendizaje en esta clase participamos mucho y aprendemos mas,FALSE,0,NA,28/08/2015 18:57,FALSE,NA,6.37E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
Muy buen profesor siempre nos hace participar y nos ayuda cuando no sabemos algo en esta clase.,FALSE,0,NA,25/08/2015 18:06,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
Muy buen profesor. Muy dinámico.,FALSE,0,NA,25/08/2015 18:06,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
clase muy activa gracias a que explica de manera clara y se participa mucho ,FALSE,0,NA,25/08/2015 18:06,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
Gran persona,FALSE,0,NA,25/08/2015 18:05,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
Buen dominio de la materia.,FALSE,0,NA,25/08/2015 18:05,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
Clase dinámica todo lo que quiero es participar ya que aprendo mucho mas,FALSE,0,NA,25/08/2015 18:05,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
LÁSTIMA QUE SE TUVO QUE IR,FALSE,0,NA,25/08/2015 18:04,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
muy bueno se asegura que los estudiantes entendamos con ayuda de las prácticas en base a una buena teoría,FALSE,0,NA,25/08/2015 18:04,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
EXCELENTE PROFESOR fomenta la participación en clase,FALSE,0,NA,25/08/2015 18:04,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
sabe mucho de los temas ,FALSE,0,NA,25/08/2015 18:03,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
Respetuoso y atento al grupo ,FALSE,0,NA,25/08/2015 18:03,FALSE,NA,6.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aiko_sga93,0,FALSE,FALSE,NA,NA
